,Dates,Price
0,2012-03-12,3.832
1,2012-03-13,3.903
2,2012-03-14,3.903
3,2012-03-15,3.901
4,2012-03-16,3.73
5,2012-03-19,3.769
6,2012-03-20,3.696
7,2012-03-21,3.648
8,2012-03-22,3.561
9,2012-03-23,3.591
10,2012-03-26,3.539
11,2012-03-27,3.7
12,2012-03-28,3.666
13,2012-03-29,3.551
14,2012-03-30,3.46
15,2012-04-02,3.412
16,2012-04-03,3.382
17,2012-04-04,3.347
18,2012-04-05,3.314
19,2012-04-06,3.358
20,2012-04-09,3.418
21,2012-04-10,3.32
22,2012-04-11,3.462
23,2012-04-12,3.451
24,2012-04-13,3.346
25,2012-04-16,3.346
26,2012-04-17,3.392
27,2012-04-18,3.354
28,2012-04-19,3.469
29,2012-04-20,3.351
30,2012-04-23,3.351
31,2012-04-24,3.233
32,2012-04-25,3.198
33,2012-04-26,3.287
34,2012-04-27,3.266
35,2012-04-30,3.218
36,2012-05-01,3.113
37,2012-05-02,3.193
38,2012-05-03,3.327
39,2012-05-04,3.373
40,2012-05-07,3.455
41,2012-05-08,3.435
42,2012-05-09,3.494
43,2012-05-10,3.566
44,2012-05-11,3.566
45,2012-05-14,3.558
46,2012-05-15,3.554
47,2012-05-16,3.446
48,2012-05-17,3.444
49,2012-05-18,3.289
50,2012-05-21,3.226
51,2012-05-22,3.335
52,2012-05-23,3.339
53,2012-05-24,3.301
54,2012-05-25,3.315
55,2012-05-28,3.399
56,2012-05-29,3.418
57,2012-05-30,3.285
58,2012-05-31,3.272
59,2012-06-01,3.279
60,2012-06-04,3.23
61,2012-06-05,3.306
62,2012-06-06,3.163
63,2012-06-07,3.153
64,2012-06-08,3.153
65,2012-06-11,3.272
66,2012-06-12,3.279
67,2012-06-13,3.246
68,2012-06-14,3.291
69,2012-06-15,3.414
70,2012-06-18,3.427
71,2012-06-19,3.434
72,2012-06-20,3.486
73,2012-06-21,3.456
74,2012-06-22,3.529
75,2012-06-25,3.529
76,2012-06-26,3.47
77,2012-06-27,3.582
78,2012-06-28,3.629
79,2012-06-29,3.649
80,2012-07-02,3.645
81,2012-07-03,3.68
82,2012-07-04,3.812
83,2012-07-05,3.872
84,2012-07-06,3.882
85,2012-07-09,3.969
86,2012-07-10,3.96
87,2012-07-11,3.935
88,2012-07-12,3.927
89,2012-07-13,3.865
90,2012-07-16,3.976
91,2012-07-17,4.068
92,2012-07-18,4.024
93,2012-07-19,4.024
94,2012-07-20,4.015
95,2012-07-23,3.969
96,2012-07-24,3.9
97,2012-07-25,3.947
98,2012-07-26,4.125
99,2012-07-27,4.082
100,2012-07-30,4.017
101,2012-07-31,4.085
102,2012-08-01,4.139
103,2012-08-02,4.222
104,2012-08-03,4.137
105,2012-08-06,4.16
106,2012-08-07,4.214
107,2012-08-08,4.401
108,2012-08-09,4.408
109,2012-08-10,4.267
110,2012-08-13,4.238
111,2012-08-14,4.166
112,2012-08-15,4.167
113,2012-08-16,4.152
114,2012-08-17,4.392
115,2012-08-20,4.343
116,2012-08-21,4.326
117,2012-08-22,4.025
118,2012-08-23,4.041
119,2012-08-24,4.011
120,2012-08-27,3.92
121,2012-08-28,3.978
122,2012-08-29,3.983
123,2012-08-30,3.91
124,2012-08-31,3.925
125,2012-09-03,4.024
126,2012-09-04,4.07
127,2012-09-05,3.932
128,2012-09-06,4.055
129,2012-09-07,4.09
130,2012-09-10,4.192
131,2012-09-11,4.186
132,2012-09-12,4.261
133,2012-09-13,4.237
134,2012-09-14,4.237
135,2012-09-17,4.174
136,2012-09-18,4.148
137,2012-09-19,4.023
138,2012-09-20,3.984
139,2012-09-21,3.991
140,2012-09-24,3.998
141,2012-09-25,4.001
142,2012-09-26,3.827
143,2012-09-27,3.828
144,2012-09-28,3.8
145,2012-10-01,3.724
146,2012-10-02,3.777
147,2012-10-03,3.814
148,2012-10-04,3.733
149,2012-10-05,3.875
150,2012-10-08,3.905
151,2012-10-09,3.963
152,2012-10-10,3.877
153,2012-10-11,3.771
154,2012-10-12,3.739
155,2012-10-15,3.647
156,2012-10-16,3.707
157,2012-10-17,3.582
158,2012-10-18,3.565
159,2012-10-19,3.577
160,2012-10-22,3.654
161,2012-10-23,3.69
162,2012-10-24,3.69
163,2012-10-25,3.617
164,2012-10-26,3.741
165,2012-10-29,3.657
166,2012-10-30,3.68
167,2012-10-31,3.613
168,2012-11-01,3.644
169,2012-11-02,3.674
170,2012-11-05,3.677
171,2012-11-06,3.629
172,2012-11-07,3.812
173,2012-11-08,3.789
174,2012-11-09,3.677
175,2012-11-12,3.743
176,2012-11-13,3.698
177,2012-11-14,3.644
178,2012-11-15,3.555
179,2012-11-16,3.459
180,2012-11-19,3.432
181,2012-11-20,3.446
182,2012-11-21,3.387
183,2012-11-22,3.347
184,2012-11-23,3.319
185,2012-11-26,3.318
186,2012-11-27,3.247
187,2012-11-28,3.297
188,2012-11-29,3.23
189,2012-11-30,3.31
190,2012-12-03,3.285
191,2012-12-04,3.342
192,2012-12-05,3.419
193,2012-12-06,3.368
194,2012-12-07,3.463
195,2012-12-10,3.444
196,2012-12-11,3.46
197,2012-12-12,3.545
198,2012-12-13,3.485
199,2012-12-14,3.513
200,2012-12-17,3.534
201,2012-12-18,3.567
202,2012-12-19,3.618
203,2012-12-20,3.581
204,2012-12-21,3.581
205,2012-12-24,3.666
206,2012-12-25,3.683
207,2012-12-26,3.575
208,2012-12-27,3.53
209,2012-12-28,3.605
210,2012-12-31,3.584
211,2013-01-01,3.567
212,2013-01-02,3.638
213,2013-01-03,3.677
214,2013-01-04,3.738
215,2013-01-07,3.745
216,2013-01-08,3.713
217,2013-01-09,3.72
218,2013-01-10,3.687
219,2013-01-11,3.602
220,2013-01-14,3.492
221,2013-01-15,3.493
222,2013-01-16,3.498
223,2013-01-17,3.589
224,2013-01-18,3.56
225,2013-01-21,3.609
226,2013-01-22,3.542
227,2013-01-23,3.499
228,2013-01-24,3.506
229,2013-01-25,3.629
230,2013-01-28,3.716
