,Date,Close,Volume,Open,High,Low,SMA,EMA,MACD,DateTime,Custom
0,2012-03-12,2.269,82299.0,2.272,2.289,2.235,0.0,0.0,0.0,2012-03-12,100.0
1,2012-03-13,2.299,114622.0,2.27,2.338,2.207,0.0,0.0,0.0,2012-03-13,100.0
2,2012-03-14,2.284,120435.0,2.329,2.343,2.248,0.0,0.0,0.0,2012-03-14,100.0
3,2012-03-15,2.279,117788.0,2.275,2.331,2.234,0.0,0.0,0.0,2012-03-15,100.0
4,2012-03-16,2.326,112037.0,2.267,2.349,2.247,0.0,0.0,0.0,2012-03-16,100.0
5,2012-03-19,2.351,117545.0,2.322,2.393,2.285,0.0,0.0,0.0,2012-03-19,100.0
6,2012-03-20,2.335,85004.0,2.339,2.368,2.318,0.0,0.0,0.0,2012-03-20,100.0
7,2012-03-21,2.36,79689.0,2.329,2.365,2.305,0.0,0.0,0.0,2012-03-21,100.0
8,2012-03-22,2.269,129207.0,2.342,2.379,2.262,0.0,0.0,0.0,2012-03-22,100.0
9,2012-03-23,2.275,87838.0,2.266,2.324,2.261,0.0,0.0,0.0,2012-03-23,100.0
10,2012-03-26,2.226,61576.0,2.286,2.317,2.213,0.0,0.0,0.0,2012-03-26,100.0
11,2012-03-27,2.208,57450.0,2.217,2.238,2.176,0.0,0.0,0.0,2012-03-27,100.0
12,2012-03-28,2.191,11253.0,2.17,2.2,2.17,0.0,0.0,0.0,2012-03-28,100.0
13,2012-03-29,2.149,136495.0,2.267,2.276,2.133,0.0,0.0,0.0,2012-03-29,100.0
14,2012-03-30,2.126,107669.0,2.166,2.172,2.113,0.0,0.0,0.0,2012-03-30,100.0
15,2012-04-02,2.152,119694.0,2.122,2.163,2.069,0.0,0.0,0.0,2012-04-02,100.0
16,2012-04-03,2.187,116778.0,2.146,2.203,2.117,0.0,0.0,0.0,2012-04-03,100.0
17,2012-04-04,2.141,92829.0,2.171,2.198,2.13,0.0,0.0,0.0,2012-04-04,100.0
18,2012-04-05,2.089,142060.0,2.135,2.159,2.084,0.0,0.0,0.0,2012-04-05,100.0
19,2012-04-06,2.089,121511.0519169329,2.089,2.089,2.089,0.0,0.0,0.0,2012-04-06,100.0
20,2012-04-09,2.107,108772.0,2.103,2.117,2.065,0.0,0.0,0.0,2012-04-09,100.0
21,2012-04-10,2.031,120126.0,2.111,2.125,2.025,0.0,0.0,0.0,2012-04-10,100.0
22,2012-04-11,1.984,121511.0519169329,1.96,1.984,1.984,0.0,0.0,0.0,2012-04-11,100.0
23,2012-04-12,1.983,188668.0,1.976,2.068,1.972,0.0,0.0,0.0,2012-04-12,100.0
24,2012-04-13,1.981,111947.0,1.982,1.999,1.959,0.0,0.0,0.0,2012-04-13,100.0
25,2012-04-16,2.016,115321.0,1.986,2.03,1.977,0.0,0.0,0.0,2012-04-16,100.0
26,2012-04-17,1.951,96558.0,2.011,2.016,1.947,0.0,0.0,0.0,2012-04-17,100.0
27,2012-04-18,1.951,91752.0,1.95,1.988,1.94,0.0,0.0,0.0,2012-04-18,100.0
28,2012-04-19,1.907,105743.0,1.949,1.963,1.902,0.0,0.0,0.0,2012-04-19,100.0
29,2012-04-20,1.927,71850.0,1.904,1.935,1.902,0.0,0.0,0.0,2012-04-20,100.0
30,2012-04-23,2.007,128649.0,1.937,2.02,1.921,0.0,0.0,0.0,2012-04-23,100.0
31,2012-04-24,1.975,62677.0,2.011,2.027,1.971,0.0,0.0,0.0,2012-04-24,100.0
32,2012-04-25,2.068,57144.0,1.984,2.09,1.971,0.0,0.0,0.0,2012-04-25,100.0
33,2012-04-26,2.036,13804.0,2.125,2.185,1.999,0.0,0.0,0.0,2012-04-26,100.0
34,2012-04-27,2.186,98064.0,2.126,2.198,2.108,0.0,0.0,0.0,2012-04-27,100.0
35,2012-04-30,2.285,137605.0,2.19,2.294,2.15,0.0,0.0,0.0,2012-04-30,100.0
36,2012-05-01,2.371,152931.0,2.311,2.379,2.293,0.0,0.0,0.0,2012-05-01,100.0
37,2012-05-02,2.253,153675.0,2.371,2.384,2.236,0.0,0.0,0.0,2012-05-02,100.0
38,2012-05-03,2.34,152267.0,2.26,2.379,2.253,0.0,0.0,0.0,2012-05-03,100.0
39,2012-05-04,2.279,112541.0,2.34,2.373,2.265,0.0,0.0,0.0,2012-05-04,100.0
40,2012-05-07,2.336,84553.0,2.277,2.358,2.273,0.0,0.0,0.0,2012-05-07,100.0
41,2012-05-08,2.393,147686.0,2.323,2.46,2.28,0.0,0.0,0.0,2012-05-08,100.0
42,2012-05-09,2.465,172098.0,2.44,2.509,2.403,0.0,0.0,0.0,2012-05-09,100.0
43,2012-05-10,2.487,179945.0,2.463,2.519,2.407,0.0,0.0,0.0,2012-05-10,100.0
44,2012-05-11,2.509,115544.0,2.467,2.529,2.456,0.0,0.0,0.0,2012-05-11,100.0
45,2012-05-14,2.431,99785.0,2.502,2.517,2.414,0.0,0.0,0.0,2012-05-14,100.0
46,2012-05-15,2.5,116507.0,2.417,2.523,2.404,0.0,0.0,0.0,2012-05-15,100.0
47,2012-05-16,2.618,136507.0,2.52,2.637,2.489,0.0,0.0,0.0,2012-05-16,100.0
48,2012-05-17,2.594,169624.0,2.625,2.674,2.508,0.0,0.0,0.0,2012-05-17,100.0
49,2012-05-18,2.742,152731.0,2.633,2.759,2.606,0.0,0.0,0.0,2012-05-18,100.0
50,2012-05-21,2.609,127371.0,2.722,2.743,2.589,0.0,0.0,0.0,2012-05-21,100.0
51,2012-05-22,2.707,147339.0,2.642,2.727,2.579,0.0,0.0,0.0,2012-05-22,100.0
52,2012-05-23,2.737,137822.0,2.691,2.746,2.615,0.0,0.0,0.0,2012-05-23,100.0
53,2012-05-24,2.647,109012.0,2.729,2.75,2.628,0.0,0.0,0.0,2012-05-24,100.0
54,2012-05-25,2.568,81574.0,2.642,2.654,2.524,0.0,0.0,0.0,2012-05-25,100.0
55,2012-05-28,2.568,121511.0519169329,2.568,2.568,2.568,0.0,0.0,0.0,2012-05-28,100.0
56,2012-05-29,2.429,12194.0,2.513,2.54,2.399,0.0,0.0,0.0,2012-05-29,100.0
57,2012-05-30,2.418,129218.0,2.498,2.508,2.395,0.0,0.0,0.0,2012-05-30,100.0
58,2012-05-31,2.422,190155.0,2.45,2.498,2.377,0.0,0.0,0.0,2012-05-31,100.0
59,2012-06-01,2.326,142170.0,2.408,2.415,2.313,0.0,0.0,0.0,2012-06-01,100.0
60,2012-06-04,2.415,125884.0,2.33,2.436,2.318,0.0,0.0,0.0,2012-06-04,100.0
61,2012-06-05,2.446,122309.0,2.429,2.477,2.383,0.0,0.0,0.0,2012-06-05,100.0
62,2012-06-06,2.421,130064.0,2.446,2.487,2.398,0.0,0.0,0.0,2012-06-06,100.0
63,2012-06-07,2.274,173533.0,2.421,2.439,2.263,0.0,0.0,0.0,2012-06-07,100.0
64,2012-06-08,2.299,132619.0,2.276,2.322,2.231,0.0,0.0,0.0,2012-06-08,100.0
65,2012-06-11,2.218,110784.0,2.262,2.285,2.198,0.0,0.0,0.0,2012-06-11,100.0
66,2012-06-12,2.232,141272.0,2.206,2.27,2.174,0.0,0.0,0.0,2012-06-12,100.0
67,2012-06-13,2.185,116554.0,2.212,2.229,2.182,0.0,0.0,0.0,2012-06-13,100.0
68,2012-06-14,2.495,255621.0,2.215,2.527,2.204,0.0,0.0,0.0,2012-06-14,100.0
69,2012-06-15,2.467,133121.0,2.526,2.556,2.444,0.0,0.0,0.0,2012-06-15,100.0
70,2012-06-18,2.635,167297.0,2.467,2.653,2.461,0.0,0.0,0.0,2012-06-18,100.0
71,2012-06-19,2.545,142195.0,2.654,2.671,2.506,0.0,0.0,0.0,2012-06-19,100.0
72,2012-06-20,2.517,144810.0,2.559,2.677,2.504,0.0,0.0,0.0,2012-06-20,100.0
73,2012-06-21,2.582,2697.0,2.535,2.535,2.535,0.0,0.0,0.0,2012-06-21,100.0
74,2012-06-22,2.625,125746.0,2.582,2.663,2.535,0.0,0.0,0.0,2012-06-22,100.0
75,2012-06-25,2.694,87874.0,2.66,2.73,2.66,0.0,0.0,0.0,2012-06-25,100.0
76,2012-06-26,2.767,69948.0,2.669,2.786,2.648,0.0,0.0,0.0,2012-06-26,100.0
77,2012-06-27,2.774,11722.0,2.787,2.815,2.73,0.0,0.0,0.0,2012-06-27,100.0
78,2012-06-28,2.722,167088.0,2.765,2.845,2.661,0.0,0.0,0.0,2012-06-28,100.0
79,2012-06-29,2.824,140974.0,2.761,2.832,2.717,0.0,0.0,0.0,2012-06-29,100.0
80,2012-07-02,2.824,87435.0,2.804,2.855,2.742,0.0,0.0,0.0,2012-07-02,100.0
81,2012-07-03,2.899,100421.0,2.844,2.902,2.786,0.0,0.0,0.0,2012-07-03,100.0
82,2012-07-04,2.899,121511.0519169329,2.899,2.899,2.899,0.0,0.0,0.0,2012-07-04,100.0
83,2012-07-05,2.945,94092.0,2.93,2.951,2.888,0.0,0.0,2.3625357142857135,2012-07-05,100.0
84,2012-07-06,2.776,198393.0,2.949,3.06,2.753,0.0,0.0,2.372264285714285,2012-07-06,100.0
85,2012-07-09,2.883,109546.0,2.781,2.895,2.777,0.0,0.0,2.384281596638655,2012-07-09,100.0
86,2012-07-10,2.737,137001.0,2.88,2.912,2.734,0.0,0.0,2.3925808531883335,2012-07-10,100.0
87,2012-07-11,2.853,105541.0,2.747,2.86,2.719,0.0,0.0,2.40341424487802,2012-07-11,100.0
88,2012-07-12,2.874,201702.0,2.853,2.92,2.72,0.0,0.0,2.41448685088089,2012-07-12,100.0
89,2012-07-13,2.874,85162.0,2.87,2.911,2.829,0.0,0.0,2.42529892497781,2012-07-13,100.0
90,2012-07-16,2.801,99101.0,2.88,2.915,2.781,0.0,0.0,2.43413895027245,2012-07-16,100.0
91,2012-07-17,2.796,103296.0,2.816,2.846,2.72,0.0,0.0,2.442653327913098,2012-07-17,100.0
92,2012-07-18,2.973,177556.0,2.997,3.02,2.777,0.0,0.0,2.4551320731386723,2012-07-18,100.0
93,2012-07-19,2.999,161720.0,2.975,3.037,2.925,0.0,0.0,2.4679289655354095,2012-07-19,100.0
94,2012-07-20,3.081,127580.0,3.031,3.096,2.984,0.0,0.0,2.482354166346341,2012-07-20,100.0
95,2012-07-23,3.117,110759.0,3.05,3.13,3.05,0.0,0.0,2.497287009491133,2012-07-23,100.0
96,2012-07-24,3.187,114907.0,3.115,3.196,3.084,0.0,0.0,2.5135155504442825,2012-07-24,100.0
97,2012-07-25,3.07,95361.0,3.174,3.178,3.05,0.0,0.0,2.5266093021985347,2012-07-25,100.0
98,2012-07-26,3.105,64393.0,3.09,3.129,3.018,0.0,0.0,2.540218495087981,2012-07-26,100.0
99,2012-07-27,3.01,11078.0,3.103,3.11,2.99,0.0,0.0,2.551272177556499,2012-07-27,100.0
100,2012-07-30,3.214,143759.0,3.03,3.231,3.03,0.0,0.0,2.566865773378699,2012-07-30,100.0
101,2012-07-31,3.209,1645.0,3.21,3.2,3.2,0.0,0.0,2.581974814005082,2012-07-31,100.0
102,2012-08-01,3.171,161464.0,3.217,3.241,3.123,0.0,0.0,2.595834230146139,2012-08-01,100.0
103,2012-08-02,2.92,178927.0,3.156,3.171,2.912,0.0,0.0,2.6034616600250535,2012-08-02,100.0
104,2012-08-03,2.877,106431.0,2.918,2.955,2.84,0.0,0.0,2.609897856259758,2012-08-03,100.0
105,2012-08-06,2.908,98978.0,2.841,2.935,2.801,0.0,0.0,2.6169120243477635,2012-08-06,100.0
106,2012-08-07,2.964,5034.0,2.959,2.964,2.959,0.0,0.0,2.6250788002454635,2012-08-07,100.0
107,2012-08-08,2.933,136990.0,2.92,2.987,2.897,0.0,0.0,2.6323240049455703,2012-08-08,100.0
108,2012-08-09,2.945,274588.0,2.931,3.12,2.876,0.0,0.0,2.639681087182145,2012-08-09,100.0
109,2012-08-10,2.77,177664.0,2.931,2.943,2.76,0.0,0.0,2.642747414542565,2012-08-10,100.0
110,2012-08-13,2.729,135861.0,2.77,2.79,2.715,0.0,0.0,2.6447768871415636,2012-08-13,100.0
111,2012-08-14,2.834,119244.0,2.747,2.848,2.73,0.0,0.0,2.649229195679409,2012-08-14,100.0
112,2012-08-15,2.748,111009.0,2.834,2.839,2.74,0.0,0.0,2.6515532146045997,2012-08-15,100.0
113,2012-08-16,2.724,173094.0,2.76,2.84,2.685,0.0,0.0,2.6532578448491972,2012-08-16,100.0
114,2012-08-17,2.719,74439.0,2.705,2.757,2.688,0.0,0.0,2.6548047190880397,2012-08-17,100.0
115,2012-08-20,2.776,97915.0,2.715,2.785,2.686,0.0,0.0,2.6576563727565565,2012-08-20,100.0
116,2012-08-21,2.775,155982.0,2.767,2.837,2.7,0.0,0.0,2.6604173992799316,2012-08-21,100.0
117,2012-08-22,2.826,121318.0,2.83,2.863,2.772,0.0,0.0,2.6643134604733447,2012-08-22,100.0
118,2012-08-23,2.802,169806.0,2.844,2.859,2.682,0.0,0.0,2.667553143756325,2012-08-23,100.0
119,2012-08-24,2.702,106483.0,2.833,2.877,2.695,0.0,0.0,2.668363658020882,2012-08-24,100.0
120,2012-08-27,2.653,76440.0,2.768,2.768,2.64,0.0,0.0,2.6680021601850963,2012-08-27,100.0
